tt0119698;Princess Mononoke;On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.;84;1997;[adventure,fantasy,animation];princess_mononoke.jpg
tt4154756;Avengers: Infinity War;The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.;84;2018;[action,adventure,fantasy];avengers_infinity_war.jpg
tt0051201;Witness for the Prosecution;A veteran British barrister must defend his client in a murder trial that has surprise after surprise.;84;1957;[crime,drama,mystery];witness_for_the_prosecution.jpg
tt0169547;American Beauty;A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.;84;1999;[drama];american_beauty.jpg
tt0090605;Aliens;Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?;83;1986;[action,adventure,sci-fi];aliens.jpg
tt1853728;Django Unchained;With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.;84;2012;[drama,western];django_unchained.jpg
tt0364569;Oldboy;After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.;83;2003;[drama,action,mystery];oldboy.jpg
tt0082096;Das Boot;The claustrophobic world of a WWII German U-boat: Boredom, filth and sheer terror.;83;1981;[drama,adventure,thriller];das_boot.jpg
tt0033467;Citizen Kane;Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.;83;1941;[drama,mystery];citizen_kane.jpg
tt0112573;Braveheart;When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England.;83;1995;[drama,biography,history];braveheart.jpg
tt0053125;North by Northwest;A hapless New York City advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.;83;1959;[adventure,mystery,thriller];north_by_northwest.jpg
tt2380307;Coco;Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.;83;2017;[adventure,comedy,animation];coco.jpg
tt0087843;Once Upon a Time in America;A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.;83;1984;[crime,drama];once_upon_a_time_in_america.jpg
