tt7221388;Cobra Kai;Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.;88;2018;[drama,action,comedy];cobra_kai.jpg;[10,5]
tt4742876;TVF Pitchers;A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.;88;2015;[drama,comedy];tvf_pitchers.jpg;[5]
tt4574334;Stranger Things;When a young boy disappears, his mother, a police chief, and his friends must confront terrifying forces in order to get him back.;88;2016;[drama,fantasy,horror];stranger_things.jpg;[8,9,8]
tt0475784;Westworld;Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.;88;2016;[drama,sci-fi,mystery];westworld.jpg;[10,10,2]
tt2707408;Narcos;A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.;88;2015;[crime,drama,biography];narcos.jpg;[10,10,10]
tt0081912;Only Fools and Horses....;Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals as they search for the big score that'll make them millionaires.;88;1981;[comedy];only_fools_and_horses.....jpg;[7,8,8,8,9,7,11,3,3]
tt0072500;Fawlty Towers;Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.;88;1975;[comedy];fawlty_towers.jpg;[6,6]
tt0367279;Arrested Development;Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.;88;2003;[comedy];arrested_development.jpg;[22,18,13,15,16]
tt0096548;Blackadder Goes Forth;Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.;87;1989;[comedy,war];blackadder_goes_forth.jpg;[6]
tt6763664;The Haunting of Hill House;Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.;88;2018;[drama,mystery,horror];the_haunting_of_hill_house.jpg;[10]
tt1856010;House of Cards;A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.;88;2013;[drama];house_of_cards.jpg;[13,13,13,13,13,8]
tt0098904;Seinfeld;The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.;88;1989;[comedy];seinfeld.jpg;[5,12,23,23,21,23,22,22,22]
tt2442560;Peaky Blinders;A gangster family epic set in 1919 Birmingham, England, centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.;87;2013;[crime,drama];peaky_blinders.jpg;[6,6,6,6,6]
tt0384766;Rome;A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.;87;2005;[drama,history,action];rome.jpg;[12,10]
tt4299972;The Jinx: The Life and Deaths of Robert Durst;Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.;87;2015;[crime,documentary];the_jinx_the_life_and_deaths_of_robert_durst.jpg;[6]
tt2297757;Nathan for You;Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.;87;2013;[comedy,documentary];nathan_for_you.jpg;[8,8,8,8]
tt0096639;Lonesome Dove;Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.;87;1989;[drama,western,adventure];lonesome_dove.jpg;[4]
tt0118421;Oz;A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.;87;1997;[crime,drama,thriller];oz.jpg;[8,8,8,16,8,8]
tt0353049;Chappelle's Show;Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.;87;2003;[comedy,music];chappelles_show.jpg;[14,16,3]
tt0348914;Deadwood;A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota, a town of deep corruption and crime.;87;2004;[crime,drama,history];deadwood.jpg;[12,12,12]
tt0086661;The Adventures of Sherlock Holmes;Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.;87;1984;[crime,drama,mystery];the_adventures_of_sherlock_holmes.jpg;[7,6]
tt0472954;It's Always Sunny in Philadelphia;Five friends with big egos and slightly arrogant attitudes are the proprietors of an Irish bar in Philadelphia.;87;2005;[comedy];its_always_sunny_in_philadelphia.jpg;[7,10,15,13,12,13,13,10,10,10,10,10,10,10]
tt0386676;The Office;A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.;88;2005;[comedy];the_office.jpg;[6,22,23,14,26,26,24,24,23]
tt2560140;Attack on Titan;After his hometown is destroyed and his mother is killed, young Eren Yeager vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.;87;2013;[action,adventure,animation];attack_on_titan.jpg;[25,12,13,13]
tt0200276;The West Wing;Inside the lives of staffers in the West Wing of the White House.;87;1999;[drama];the_west_wing.jpg;[22,22,22,23,22,22,22]
tt0264235;Curb Your Enthusiasm;The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.;87;2000;[comedy];curb_your_enthusiasm.jpg;[10,10,10,10,10,10,10,10,10,2]
tt0108855;The Memoirs of Sherlock Holmes;Holmes, his friend Watson (or his brother Mycroft) work to solve the mysteries of The Three Gables, The Dying Detective, The Golden Pince-Nez, The Red Circle, The Mazarin Stone, and The Cardboard Box.;86;1994;[crime,drama,mystery];the_memoirs_of_sherlock_holmes.jpg;[6]
